Hugo_Symbol	penetrance	Proposed_level	num_samples	somatic_driver_rate	pathogenic_germline_rate	percent_biallelic
MDC1	Uncertain	Cancer of Unknown Primary	409	0	0.0024	0
MITF	Moderate	Cancer of Unknown Primary	409	0	0.0049	0
MRE11A	Uncertain	Cancer of Unknown Primary	409	0	0.0024	0
MSH2	High	Cancer of Unknown Primary	409	0.0049	0.0024	1
MUTYH	Low	Cancer of Unknown Primary	409	0	0.0269	0.25
NOTCH4	Uncertain	Cancer of Unknown Primary	409	0	0.0073	0
PARK2	Uncertain	Cancer of Unknown Primary	409	0	0.0024	0
PIK3C2G	Uncertain	Cancer of Unknown Primary	409	0	0.0024	1
PRDM1	Uncertain	Cancer of Unknown Primary	409	0	0.0024	1
RAD54L	Uncertain	Cancer of Unknown Primary	409	0	0.0024	0
RECQL4	Uncertain	Cancer of Unknown Primary	409	0	0.0024	0
RPS6KB2	Uncertain	Cancer of Unknown Primary	409	0	0.0049	1
SHQ1	Uncertain	Cancer of Unknown Primary	409	0	0.0049	0.5
TGFBR1	Uncertain	Cancer of Unknown Primary	409	0.0098	0.0024	0
TP53	High	Cancer of Unknown Primary	409	0.467	0.0024	1
ATM	Moderate	Cervical Cancer	79	0.0633	0.0253	0
BRCA2	High	Cervical Cancer	79	0.0127	0.0127	0
CHEK2	Moderate,Uncertain	Cervical Cancer	79	0	0.0253	0
DIS3	Uncertain	Cervical Cancer	79	0	0.0127	1
FANCC	Uncertain	Cervical Cancer	79	0	0.0127	0
RAD51B	Uncertain	Cervical Cancer	79	0	0.0127	0
MST1	Uncertain	Cholangiocarcinoma	239	0	0.0084	1
APC	Low,High	Cholangiocarcinoma	288	0.0174	0.0104	0
ATM	Moderate	Cholangiocarcinoma	288	0.0764	0.0069	1
ATR	Uncertain	Cholangiocarcinoma	288	0	0.0069	0
AXIN1	Uncertain	Cholangiocarcinoma	288	0.0104	0.0035	NA
BAP1	High	Cholangiocarcinoma	288	0.1076	0.0069	1
BRCA1	High	Cholangiocarcinoma	288	0	0.0069	1
BRCA2	High	Cholangiocarcinoma	288	0.0104	0.0208	0.5
CHEK2	Moderate,Uncertain	Cholangiocarcinoma	288	0	0.0035	0
ERCC2	Uncertain	Cholangiocarcinoma	288	0	0.0069	0
FANCC	Uncertain	Cholangiocarcinoma	288	0.0035	0.0069	1
FH	Uncertain,High	Cholangiocarcinoma	288	0	0.0104	1
JAK3	Uncertain	Cholangiocarcinoma	288	0	0.0035	0
KDM5C	Uncertain	Cholangiocarcinoma	288	0.0069	0.0035	0
MDC1	Uncertain	Cholangiocarcinoma	288	0	0.0035	0
MITF	Moderate	Cholangiocarcinoma	288	0	0.0139	0
MLH1	High	Cholangiocarcinoma	288	0.0139	0.0035	1
MSH6	High	Cholangiocarcinoma	288	0	0.0035	0
MUTYH	Low	Cholangiocarcinoma	288	0	0.0312	0.25
NOTCH3	Uncertain	Cholangiocarcinoma	288	0	0.0035	NA
PALB2	High	Cholangiocarcinoma	288	0	0.0069	0
PMS2	High	Cholangiocarcinoma	288	0	0.0104	0
RECQL4	Uncertain	Cholangiocarcinoma	288	0	0.0104	0
RNF43	Uncertain	Cholangiocarcinoma	288	0.0208	0.0035	0
SHQ1	Uncertain	Cholangiocarcinoma	288	0	0.0035	NA
TSC2	High	Cholangiocarcinoma	288	0	0.0035	0
BCL10	Uncertain	Colorectal Adenocarcinoma	1306	0.0023	8e-04	1
HOXB13	Moderate	Colorectal Adenocarcinoma	1306	0	8e-04	0
MST1	Uncertain	Colorectal Adenocarcinoma	1306	0	8e-04	0
TCF7L2	Uncertain	Colorectal Adenocarcinoma	1306	0.0835	8e-04	1
XRCC2	Uncertain	Colorectal Adenocarcinoma	1306	0.0069	8e-04	0
ZFHX3	Uncertain	Colorectal Adenocarcinoma	1306	0	8e-04	0
ALOX12B	Uncertain	Colorectal Adenocarcinoma	1495	0	7e-04	1
APC	Low,High	Colorectal Adenocarcinoma	1495	0.7064	0.0181	0.846
ARID2	Uncertain	Colorectal Adenocarcinoma	1495	0.0167	7e-04	NA
ATM	Moderate	Colorectal Adenocarcinoma	1495	0.1184	0.008	0.5
ATR	Uncertain	Colorectal Adenocarcinoma	1495	0.01	0.0013	0
BARD1	Uncertain	Colorectal Adenocarcinoma	1495	0.0094	7e-04	0
BLM	Uncertain	Colorectal Adenocarcinoma	1495	0	0.0027	0.25
BRCA1	High	Colorectal Adenocarcinoma	1495	0.0161	0.0033	0.25
BRCA2	High	Colorectal Adenocarcinoma	1495	0.0288	0.0067	0
BRIP1	Moderate	Colorectal Adenocarcinoma	1495	0.0388	0.004	0.167
CASP8	Uncertain	Colorectal Adenocarcinoma	1495	0.0181	0.0013	0.5
CDH1	High	Colorectal Adenocarcinoma	1495	0.0134	7e-04	0
CHEK2	Moderate,Uncertain	Colorectal Adenocarcinoma	1495	7e-04	0.0127	0.471
CTCF	Uncertain	Colorectal Adenocarcinoma	1495	0.0187	7e-04	0
DIS3	Uncertain	Colorectal Adenocarcinoma	1495	0.0013	0.0027	0
EPCAM	Uncertain	Colorectal Adenocarcinoma	1495	0	7e-04	0
ERCC2	Uncertain	Colorectal Adenocarcinoma	1495	0.0013	0.002	0
ERCC3	Uncertain	Colorectal Adenocarcinoma	1495	0.0027	0.0074	0
ERCC5	Uncertain	Colorectal Adenocarcinoma	1495	0	0.0013	0
FANCA	Uncertain	Colorectal Adenocarcinoma	1495	0.0033	0.0027	0
FANCC	Uncertain	Colorectal Adenocarcinoma	1495	0.0027	0.0033	0.2
FAT1	Uncertain	Colorectal Adenocarcinoma	1495	0.0221	7e-04	0
FBXW7	Uncertain	Colorectal Adenocarcinoma	1495	0.1064	7e-04	0
FH	Uncertain,High	Colorectal Adenocarcinoma	1495	0	0.004	0.5
FLCN	High	Colorectal Adenocarcinoma	1495	0	7e-04	1
FUBP1	Uncertain	Colorectal Adenocarcinoma	1495	0.0067	7e-04	NA
INSR	Uncertain	Colorectal Adenocarcinoma	1495	0	7e-04	NA
JAK3	Uncertain	Colorectal Adenocarcinoma	1495	7e-04	0.0013	0
KEAP1	Uncertain	Colorectal Adenocarcinoma	1495	0.0013	7e-04	0
MITF	Moderate	Colorectal Adenocarcinoma	1495	0	0.0054	0
MLH1	High	Colorectal Adenocarcinoma	1495	0.0147	0.006	1
MRE11A	Uncertain	Colorectal Adenocarcinoma	1495	0	0.0013	0
MSH2	High	Colorectal Adenocarcinoma	1495	0.0194	0.0074	0.818
MSH6	High	Colorectal Adenocarcinoma	1495	0.0234	0.004	0.667
MUTYH	Low	Colorectal Adenocarcinoma	1495	0	0.0147	0.211
NOTCH4	Uncertain	Colorectal Adenocarcinoma	1495	0	7e-04	0
PARK2	Uncertain	Colorectal Adenocarcinoma	1495	0	0.002	0.5
PIK3C2G	Uncertain	Colorectal Adenocarcinoma	1495	0	0.0027	0.5
PIK3R3	Uncertain	Colorectal Adenocarcinoma	1495	0.0054	7e-04	0
PMS1	Uncertain	Colorectal Adenocarcinoma	1495	0	0.0013	0
PMS2	High	Colorectal Adenocarcinoma	1495	0.0047	7e-04	1
PPP2R1A	Uncertain	Colorectal Adenocarcinoma	1495	0.008	7e-04	0
PRDM1	Uncertain	Colorectal Adenocarcinoma	1495	0.0013	7e-04	1
PTCH1	High	Colorectal Adenocarcinoma	1495	0.0241	7e-04	0
RAD50	Uncertain	Colorectal Adenocarcinoma	1495	0.012	0.0013	0
RAD51C	Moderate	Colorectal Adenocarcinoma	1495	0	7e-04	1
RAD51D	Moderate	Colorectal Adenocarcinoma	1495	0	7e-04	0
RAD54L	Uncertain	Colorectal Adenocarcinoma	1495	0	0.0013	0
RECQL4	Uncertain	Colorectal Adenocarcinoma	1495	0	0.004	0
RET	High	Colorectal Adenocarcinoma	1495	0.0013	7e-04	1
RNF43	Uncertain	Colorectal Adenocarcinoma	1495	0.0662	7e-04	1
RPS6KB2	Uncertain	Colorectal Adenocarcinoma	1495	0	0.0013	0
SDHA	High	Colorectal Adenocarcinoma	1495	0	7e-04	0
SDHD	High	Colorectal Adenocarcinoma	1495	0	7e-04	0
SETD2	Uncertain	Colorectal Adenocarcinoma	1495	0.0207	7e-04	NA
SHQ1	Uncertain	Colorectal Adenocarcinoma	1495	7e-04	0.0013	0
TBX3	Uncertain	Colorectal Adenocarcinoma	1495	0	7e-04	0
TP53	High	Colorectal Adenocarcinoma	1495	0.7258	7e-04	0
TSHR	Uncertain	Colorectal Adenocarcinoma	1495	0	0.002	0.667
VHL	High,Uncertain	Colorectal Adenocarcinoma	1495	0	0.0013	0
DNAJB1	Uncertain	Cutaneous Melanoma	292	0	0.0034	0
ALOX12B	Uncertain	Cutaneous Melanoma	322	0	0.0031	0
APC	Low,High	Cutaneous Melanoma	322	0.0342	0.0217	0.143
ATM	Moderate	Cutaneous Melanoma	322	0.1491	0.0031	1
BLM	Uncertain	Cutaneous Melanoma	322	0	0.0062	0.5
BRCA1	High	Cutaneous Melanoma	322	0.0124	0.0093	0.5
BRCA2	High	Cutaneous Melanoma	322	0.0155	0.0062	0
CHEK2	Moderate,Uncertain	Cutaneous Melanoma	322	0	0.0217	0.571
CIC	Uncertain	Cutaneous Melanoma	322	0	0.0031	0
DIS3	Uncertain	Cutaneous Melanoma	322	0	0.0062	0
ERCC2	Uncertain	Cutaneous Melanoma	322	0	0.0031	0
ERCC3	Uncertain	Cutaneous Melanoma	322	0.0031	0.0124	0
FANCA	Uncertain	Cutaneous Melanoma	322	0	0.0031	0
FANCC	Uncertain	Cutaneous Melanoma	322	0.0031	0.0031	0
FH	Uncertain,High	Cutaneous Melanoma	322	0	0.0062	0
INPP4A	Uncertain	Cutaneous Melanoma	322	0	0.0031	0
JAK3	Uncertain	Cutaneous Melanoma	322	0	0.0031	0
KIT	High	Cutaneous Melanoma	322	0.0248	0.0031	1
MEN1	High	Cutaneous Melanoma	322	0.0093	0.0031	0
MITF	Moderate	Cutaneous Melanoma	322	0	0.0093	0
MUTYH	Low	Cutaneous Melanoma	322	0	0.0124	0.333
NOTCH3	Uncertain	Cutaneous Melanoma	322	0	0.0031	0
PIK3C2G	Uncertain	Cutaneous Melanoma	322	0	0.0062	0.5
PIK3R3	Uncertain	Cutaneous Melanoma	322	0	0.0031	0
PMS1	Uncertain	Cutaneous Melanoma	322	0	0.0031	1
RAD50	Uncertain	Cutaneous Melanoma	322	0	0.0031	0
RAD51D	Moderate	Cutaneous Melanoma	322	0	0.0031	0
RET	High	Cutaneous Melanoma	322	0	0.0031	0
HIST1H3A	Uncertain	Diffuse Glioma	739	0	0.0027	0
ALOX12B	Uncertain	Diffuse Glioma	836	0	0.0024	0.5
APC	Low,High	Diffuse Glioma	836	0.0036	0.0179	0.133
ATM	Moderate	Diffuse Glioma	836	0.0371	0.0024	0.5
BARD1	Uncertain	Diffuse Glioma	836	0.0012	0.0012	0
BLM	Uncertain	Diffuse Glioma	836	0	0.0036	0
BRCA1	High	Diffuse Glioma	836	0.0012	0.0012	0
BRCA2	High	Diffuse Glioma	836	0.0084	0.0036	0.333
BRIP1	Moderate	Diffuse Glioma	836	0.0156	0.0036	0
CASP8	Uncertain	Diffuse Glioma	836	0.0012	0.0012	0
CD274	Uncertain	Diffuse Glioma	836	0	0.0012	0
CHEK1	Uncertain	Diffuse Glioma	836	0	0.0012	0
CHEK2	Moderate,Uncertain	Diffuse Glioma	836	0	0.012	0.222
DIS3	Uncertain	Diffuse Glioma	836	0.0012	0.0024	0
EPCAM	Uncertain	Diffuse Glioma	836	0	0.0024	0.5
ERCC2	Uncertain	Diffuse Glioma	836	0.0024	0.0024	0
ERCC3	Uncertain	Diffuse Glioma	836	0	0.006	0
ERCC5	Uncertain	Diffuse Glioma	836	0	0.0036	0
FAM175A	Uncertain	Diffuse Glioma	836	0	0.0024	0
FANCA	Uncertain	Diffuse Glioma	836	0.0036	0.0024	0
FANCC	Uncertain	Diffuse Glioma	836	0.0012	0.0012	0
FH	Uncertain,High	Diffuse Glioma	836	0	0.006	0.2
FLCN	High	Diffuse Glioma	836	0	0.0012	0
FOXP1	Uncertain	Diffuse Glioma	836	0.0036	0.0012	0
FUBP1	Uncertain	Diffuse Glioma	836	0.0395	0.0012	0
HIST1H3B	Uncertain	Diffuse Glioma	836	0.0012	0.0012	0
IFNGR1	Uncertain	Diffuse Glioma	836	0	0.0012	0
MITF	Moderate	Diffuse Glioma	836	0	0.0024	0
MRE11A	Uncertain	Diffuse Glioma	836	0	0.0024	0
MSH2	High	Diffuse Glioma	836	0.0096	0.0012	0
MSH6	High	Diffuse Glioma	836	0.0108	0.0012	1
MUTYH	Low	Diffuse Glioma	836	0	0.0203	0.059
NBN	Moderate	Diffuse Glioma	836	0	0.006	0
NF1	High	Diffuse Glioma	836	0.1244	0.0012	1
NOTCH3	Uncertain	Diffuse Glioma	836	0	0.0012	0
NOTCH4	Uncertain	Diffuse Glioma	836	0	0.0024	0
PALB2	High	Diffuse Glioma	836	0	0.0024	0
PARK2	Uncertain	Diffuse Glioma	836	0	0.0012	0
PIK3C2G	Uncertain	Diffuse Glioma	836	0	0.0036	0.333
PMS1	Uncertain	Diffuse Glioma	836	0	0.0024	0
PTEN	High	Diffuse Glioma	836	0.2309	0.0012	1
RAD50	Uncertain	Diffuse Glioma	836	0.0072	0.0012	0
RAD51B	Uncertain	Diffuse Glioma	836	0	0.0024	1
RAD51C	Moderate	Diffuse Glioma	836	0.0036	0.0012	0
SDHAF2	High	Diffuse Glioma	836	0	0.0012	0
SDHD	High	Diffuse Glioma	836	0	0.0012	0
SETD2	Uncertain	Diffuse Glioma	836	0.0275	0.0012	1
SHQ1	Uncertain	Diffuse Glioma	836	0.0024	0.0012	0
SMAD3	Uncertain	Diffuse Glioma	836	0	0.0012	0
TMEM127	High	Diffuse Glioma	836	0	0.0012	0
TNFRSF14	Uncertain	Diffuse Glioma	836	0	0.0012	0
TP53	High	Diffuse Glioma	836	0.3792	0.0036	1
TSC2	High	Diffuse Glioma	836	0.0096	0.0012	1
BLM	Uncertain	Embryonal Tumor	112	0	0.0089	0
BRIP1	Moderate	Embryonal Tumor	112	0.0089	0.0089	0
CHEK2	Moderate,Uncertain	Embryonal Tumor	112	0	0.0179	0.5
CIC	Uncertain	Embryonal Tumor	112	0.0089	0.0089	1
FANCA	Uncertain	Embryonal Tumor	112	0	0.0089	0
MAP3K13	Uncertain	Embryonal Tumor	112	0	0.0089	0
MITF	Moderate	Embryonal Tumor	112	0	0.0089	1
MUTYH	Low	Embryonal Tumor	112	0	0.0179	0
PALB2	High	Embryonal Tumor	112	0	0.0089	NA
PTCH1	High	Embryonal Tumor	112	0	0.0089	1
RECQL4	Uncertain	Embryonal Tumor	112	0	0.0179	NA
SDHA	High	Embryonal Tumor	112	0	0.0089	1
SHQ1	Uncertain	Embryonal Tumor	112	0	0.0089	0
TBX3	Uncertain	Embryonal Tumor	112	0	0.0089	0
TP53	High	Embryonal Tumor	112	0.0268	0.0089	1
HOXB13	Moderate	Endometrial Carcinoma	483	0	0.0041	0
APC	Low,High	Endometrial Carcinoma	547	0.0293	0.0238	0.364
ATM	Moderate	Endometrial Carcinoma	547	0.17	0.0055	1
AXIN1	Uncertain	Endometrial Carcinoma	547	0.0018	0.0018	0
AXIN2	Uncertain	Endometrial Carcinoma	547	0.0128	0.0018	0
BRCA1	High	Endometrial Carcinoma	547	0.0091	0.0073	0.75
BRCA2	High	Endometrial Carcinoma	547	0.0329	0.0091	0.333
CASP8	Uncertain	Endometrial Carcinoma	547	0.0311	0.0018	1
CHEK2	Moderate,Uncertain	Endometrial Carcinoma	547	0.0018	0.011	0.2
ERCC4	Uncertain	Endometrial Carcinoma	547	0.0055	0.0073	0.667
FANCA	Uncertain	Endometrial Carcinoma	547	0.0018	0.0018	1
FANCC	Uncertain	Endometrial Carcinoma	547	0.0018	0.0037	0.5
FH	Uncertain,High	Endometrial Carcinoma	547	0	0.0037	0
H3F3C	Uncertain	Endometrial Carcinoma	547	0	0.0018	0
MITF	Moderate	Endometrial Carcinoma	547	0	0.0018	0
MLH1	High	Endometrial Carcinoma	547	0.0219	0.0055	1
MRE11A	Uncertain	Endometrial Carcinoma	547	0	0.0037	0
MSH2	High	Endometrial Carcinoma	547	0.0238	0.0018	1
MSH6	High	Endometrial Carcinoma	547	0.0439	0.0091	0.6
MUTYH	Low	Endometrial Carcinoma	547	0	0.0146	0.143
NBN	Moderate	Endometrial Carcinoma	547	0	0.0018	1
NOTCH4	Uncertain	Endometrial Carcinoma	547	0	0.0018	1
PALB2	High	Endometrial Carcinoma	547	0	0.0018	1
PIK3C2G	Uncertain	Endometrial Carcinoma	547	0	0.0055	0
PMS2	High	Endometrial Carcinoma	547	0.011	0.0018	1
PRDM1	Uncertain	Endometrial Carcinoma	547	0.0018	0.0018	0
RAD51B	Uncertain	Endometrial Carcinoma	547	0	0.0018	1
RB1	High	Endometrial Carcinoma	547	0.042	0.0018	1
RECQL4	Uncertain	Endometrial Carcinoma	547	0	0.011	0.333
RPS6KB2	Uncertain	Endometrial Carcinoma	547	0	0.0055	0
SDHAF2	High	Endometrial Carcinoma	547	0	0.0018	0
STK11	High	Endometrial Carcinoma	547	0.0073	0.0018	1
VHL	High,Uncertain	Endometrial Carcinoma	547	0	0.0018	0
HIST1H3A	Uncertain	Esophagogastric Cancer	325	0	0.0031	1
XRCC2	Uncertain	Esophagogastric Cancer	325	0.0062	0.0031	0
APC	Low,High	Esophagogastric Cancer	429	0.0326	0.014	0.4
ASXL1	Uncertain	Esophagogastric Cancer	429	0.0093	0.0023	0
ATM	Moderate	Esophagogastric Cancer	429	0.0536	0.0163	0.667
BAP1	High	Esophagogastric Cancer	429	0.007	0.0023	1
BARD1	Uncertain	Esophagogastric Cancer	429	0.0023	0.0023	1
BLM	Uncertain	Esophagogastric Cancer	429	0	0.0023	NA
BRCA1	High	Esophagogastric Cancer	429	0.007	0.0093	0.75
BRCA2	High	Esophagogastric Cancer	429	0.014	0.0163	0.8
BRIP1	Moderate	Esophagogastric Cancer	429	0.021	0.0023	NA
CDH1	High	Esophagogastric Cancer	429	0.0559	0.0117	0.75
CHEK2	Moderate,Uncertain	Esophagogastric Cancer	429	0	0.014	0.2
CREBBP	Uncertain	Esophagogastric Cancer	429	0.0186	0.0023	0
DIS3	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
EPCAM	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
ERCC2	Uncertain	Esophagogastric Cancer	429	0	0.0023	NA
ERCC3	Uncertain	Esophagogastric Cancer	429	0	0.0047	0
ERCC5	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
FAM175A	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
FH	Uncertain,High	Esophagogastric Cancer	429	0	0.0023	NA
HIST1H1C	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
IFNGR1	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
LATS1	Uncertain	Esophagogastric Cancer	429	0.0023	0.0023	NA
MSH2	High	Esophagogastric Cancer	429	0.0047	0.0023	1
MUTYH	Low	Esophagogastric Cancer	429	0	0.014	0.5
NBN	Moderate	Esophagogastric Cancer	429	0	0.0023	NA
NOTCH4	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
PIK3C2G	Uncertain	Esophagogastric Cancer	429	0	0.007	0
PMS1	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
PTPRT	Uncertain	Esophagogastric Cancer	429	0.021	0.0023	0
RAD50	Uncertain	Esophagogastric Cancer	429	0	0.0047	0
RAD51B	Uncertain	Esophagogastric Cancer	429	0	0.0023	1
RAD54L	Uncertain	Esophagogastric Cancer	429	0	0.0023	NA
RECQL4	Uncertain	Esophagogastric Cancer	429	0	0.0047	0
