Hugo_Symbol	penetrance	num_samples	somatic_driver_rate	pathogenic_germline_rate	percent_biallelic
CUL3	Uncertain	17152	0	1e-04	0
CXCR4	NA	14752	0	0	0
DAXX	NA	17152	0	0	0
DCUN1D1	NA	17152	0	0	0
DDR2	NA	17152	0	0	0
DICER1	High	17152	0.005	2e-04	0.5
DIS3	Uncertain	17152	0.001	0.0018	0.107
DNAJB1	Uncertain	14752	0	1e-04	0
DNMT1	NA	17152	0	0	0
DNMT3A	Uncertain	17152	0.004	2e-04	0
DNMT3B	Uncertain	17152	0	1e-04	0
DOT1L	NA	17152	0	0	0
E2F3	NA	17152	0	0	0
EED	NA	17152	0	0	0
EGFL7	Uncertain	17152	0	1e-04	1
EGFR	NA	17152	0.041	0	0
EIF1AX	NA	17152	0.003	0	0
EIF4A2	NA	14752	0	0	0
EIF4E	NA	14752	0	0	0
EP300	NA	17152	0.012	0	0
EPCAM	Uncertain	17152	0	6e-04	0.143
EPHA3	Uncertain	17152	0	1e-04	0
EPHA5	NA	17152	0	0	0
EPHA7	NA	14752	0	0	0
EPHB1	NA	17152	0	0	0
ERBB2	NA	17152	0.019	0	0
ERBB3	NA	17152	0.009	0	0
ERBB4	NA	17152	0.001	0	0
ERCC2	Uncertain	17152	0.002	0.0024	0.114
ERCC3	Uncertain	17152	0.001	0.0052	0.076
ERCC4	Uncertain	17152	0.001	8e-04	0.2
ERCC5	Uncertain	17152	0	9e-04	0.231
ERG	NA	17152	0	0	0
ERRFI1	Uncertain	14752	0.002	1e-04	NA
ESR1	NA	17152	0.011	0	0
ETV1	NA	17152	0	0	0
ETV6	NA	17152	0.001	0	0
EZH2	NA	17152	0.001	0	0
FAM175A	Uncertain	17152	0	8e-04	0.1
FAM46C	NA	17152	0	0	0
FANCA	Uncertain	17152	0.002	0.0029	0.222
FANCC	Uncertain	17152	0.001	0.0032	0.25
FAT1	Uncertain	17152	0.017	8e-04	0
FBXW7	Uncertain	17152	0.025	1e-04	0
FGF19	NA	17152	0	0	0
FGF3	NA	17152	0	0	0
FGF4	NA	17152	0	0	0
FGFR1	NA	17152	0.001	0	0
FGFR2	Uncertain	17152	0.006	1e-04	0
FGFR3	NA	17152	0.009	0	0
FGFR4	NA	17152	0.001	0	0
FH	Uncertain,High	17152	0	0.0043	0.313
FLCN	High	17152	0	6e-04	0.444
FLT1	NA	17152	0	0	0
FLT3	NA	17152	0.001	0	0
FLT4	NA	17152	0	0	0
FOXA1	NA	17152	0.007	0	0
FOXL2	NA	17152	0.001	0	0
FOXO1	NA	14752	0	0	0
FOXP1	Uncertain	17152	0.006	1e-04	0
FUBP1	Uncertain	17152	0.006	1e-04	0
FYN	NA	14752	0	0	0
GATA1	NA	17152	0	0	0
GATA2	NA	17152	0	0	0
GATA3	NA	17152	0.022	0	0
GLI1	NA	14752	0	0	0
GNA11	NA	17152	0.002	0	0
GNAQ	NA	17152	0.002	0	0
GNAS	NA	17152	0.01	0	0
GPS2	Uncertain	14752	0	1e-04	1
GREM1	NA	17152	0	0	0
GRIN2A	NA	17152	0	0	0
GSK3B	NA	17152	0	0	0
H3F3A	NA	14752	0.001	0	0
H3F3B	NA	14752	0	0	0
H3F3C	Uncertain	17152	0	1e-04	0
HGF	NA	17152	0	0	0
HIST1H1C	Uncertain	17152	0.001	1e-04	0
HIST1H2BD	NA	17152	0	0	0
HIST1H3A	Uncertain	14752	0	5e-04	0.429
HIST1H3B	Uncertain	17152	0.001	1e-04	0
HIST1H3C	NA	14752	0	0	0
HIST1H3D	Uncertain	14752	0	1e-04	0
HIST1H3E	NA	14752	0	0	0
HIST1H3F	Uncertain	14752	0	1e-04	0
HIST1H3G	NA	14752	0	0	0
HIST1H3H	Uncertain	14752	0	1e-04	0
HIST1H3I	NA	14752	0	0	0
HIST1H3J	NA	14752	0	0	0
HIST2H3D	NA	14752	0	0	0
HIST3H3	Uncertain	14752	0	3e-04	0
HLA-A	NA	14752	0.004	0	0
HNF1A	Uncertain	17152	0.003	2e-04	0
HOXB13	Moderate	14752	0	0.0015	0.048
HRAS	NA	17152	0.006	0	0
ICOSLG	NA	17152	0	0	0
ID3	NA	14752	0	0	0
IDH1	NA	17152	0.023	0	0
IDH2	NA	17152	0.003	0	0
IFNGR1	Uncertain	17152	0	5e-04	0.111
IGF1	NA	17152	0	0	0
IGF1R	NA	17152	0	0	0
IGF2	NA	17152	0	0	0
IKBKE	NA	17152	0	0	0
IKZF1	Uncertain	17152	0.001	1e-04	NA
IL10	NA	17152	0	0	0
IL7R	NA	17152	0	0	0
INHA	NA	14752	0	0	0
INHBA	NA	14752	0	0	0
INPP4A	Uncertain	17152	0	3e-04	0
INPP4B	NA	17152	0.003	0	0
INSR	Uncertain	17152	0	1e-04	NA
IRF4	NA	17152	0	0	0
IRS1	NA	17152	0	0	0
IRS2	NA	17152	0	0	0
JAK1	NA	17152	0.009	0	0
JAK2	NA	17152	0	0	0
JAK3	Uncertain	17152	0	8e-04	0
JUN	NA	17152	0	0	0
KDM5A	NA	17152	0	0	0
KDM5C	Uncertain	17152	0.007	1e-04	0
KDM6A	NA	17152	0.019	0	0
KDR	NA	17152	0	0	0
KEAP1	Uncertain	17152	0.012	1e-04	0
KIT	High	17152	0.016	1e-04	1
KLF4	Uncertain	17152	0	1e-04	0
KMT2A	Uncertain	17152	0.009	1e-04	NA
KMT2C	Uncertain	17152	0.028	1e-04	0
KMT2D	Uncertain	17152	0.038	1e-04	0
KRAS	NA	17152	0.158	0	0
LATS1	Uncertain	17152	0.005	4e-04	0.333
LATS2	Uncertain	17152	0.003	1e-04	1
LMO1	NA	17152	0	0	0
MALT1	NA	14752	0	0	0
MAP2K1	NA	17152	0.005	0	0
MAP2K2	NA	17152	0	0	0
MAP2K4	NA	17152	0.008	0	0
MAP3K1	Uncertain	17152	0.028	2e-04	0
MAP3K13	Uncertain	17152	0	2e-04	0.25
MAP3K14	NA	14752	0	0	0
MAPK1	NA	17152	0.001	0	0
MAPK3	Uncertain	14752	0	1e-04	0
MAX	NA	17152	0.002	0	0
MCL1	NA	17152	0	0	0
MDC1	Uncertain	17152	0	6e-04	0.333
MDM2	NA	17152	0	0	0
MDM4	NA	17152	0	0	0
MED12	NA	17152	0.009	0	0
MEF2B	NA	17152	0	0	0
MEN1	High	17152	0.008	3e-04	0.8
MET	High	17152	0.005	1e-04	1
MGA	Uncertain	14752	0.014	1e-04	0
MITF	Moderate	17152	0	0.0036	0.245
MLH1	High	17152	0.005	0.0012	0.895
MPL	NA	17152	0	0	0
MRE11A	Uncertain	17152	0	0.0011	0.056
MSH2	High	17152	0.006	0.0023	0.789
MSH6	High	17152	0.008	0.0018	0.536
MST1	Uncertain	14752	0	8e-04	0.4
MST1R	NA	14752	0	0	0
MTOR	NA	17152	0.005	0	0
MUTYH	Low	17152	0	0.0151	0.199
MYC	NA	17152	0.001	0	0
MYCN	NA	17152	0.001	0	0
MYD88	NA	17152	0.001	0	0
MYOD1	NA	17152	0	0	0
NBN	Moderate	17152	0	0.0019	0.179
NCOA3	NA	14752	0	0	0
NCOR1	Uncertain	17152	0.012	2e-04	0.667
NEGR1	NA	14752	0	0	0
NF1	High	17152	0.036	0.0012	0.8
NF2	NA	17152	0.01	0	0
NFE2L2	NA	17152	0.008	0	0
NFKBIA	NA	14752	0	0	0
NKX2-1	NA	17152	0	0	0
NKX3-1	Uncertain	17152	0	2e-04	0.333
NOTCH1	Uncertain	17152	0.014	1e-04	0
NOTCH2	NA	17152	0.006	0	0
NOTCH3	Uncertain	17152	0	9e-04	0.133
NOTCH4	Uncertain	17152	0	0.0014	0.095
NPM1	NA	17152	0	0	0
NRAS	NA	17152	0.021	0	0
NSD1	Uncertain	17152	0	1e-04	0
NTRK1	NA	17152	0	0	0
NTRK2	NA	17152	0	0	0
NTRK3	NA	17152	0	0	0
NUP93	Uncertain	14752	0.001	3e-04	0.25
PAK1	NA	17152	0	0	0
PAK7	NA	17152	0	0	0
PALB2	High	17152	0	0.002	0.517
PARK2	Uncertain	17152	0	0.0013	0.278
PARP1	NA	17152	0	0	0
PAX5	Uncertain	17152	0	1e-04	0
PBRM1	Uncertain	17152	0.019	1e-04	0
PDCD1	Uncertain	17152	0	1e-04	0
PDGFRA	NA	17152	0.003	0	0
PDGFRB	NA	17152	0	0	0
PDPK1	NA	17152	0	0	0
PGR	NA	14752	0	0	0
PHOX2B	NA	17152	0	0	0
PIK3C2G	Uncertain	17152	0	0.0052	0.244
PIK3C3	NA	17152	0	0	0
PIK3CA	NA	17152	0.127	0	0
PIK3CB	NA	17152	0.002	0	0
PIK3CD	NA	17152	0.001	0	0
PIK3CG	NA	17152	0	0	0
PIK3R1	Uncertain	17152	0.024	1e-04	0
PIK3R2	NA	17152	0.001	0	0
PIK3R3	Uncertain	17152	0.002	5e-04	0.143
PIM1	NA	17152	0	0	0
PLCG2	NA	14752	0	0	0
PLK2	Uncertain	17152	0	1e-04	NA
PMAIP1	NA	17152	0	0	0
PMS1	Uncertain	17152	0	0.0016	0.125
PMS2	High	17152	0.002	0.001	0.286
PNRC1	NA	17152	0	0	0
POLD1	NA	14752	0	0	0
POLE	NA	17152	0.002	0	0
PPM1D	NA	14752	0.004	0	0
PPP2R1A	Uncertain	17152	0.007	1e-04	0
PPP6C	NA	14752	0.001	0	0
PRDM1	Uncertain	17152	0.001	5e-04	0.429
PRKAR1A	NA	17152	0	0	0
PTCH1	High	17152	0.007	2e-04	0.667
PTEN	High	17152	0.063	2e-04	1
PTPN11	NA	17152	0.003	0	0
PTPRD	Uncertain	17152	0.007	1e-04	1
PTPRS	Uncertain	17152	0	3e-04	0.2
PTPRT	Uncertain	17152	0.011	2e-04	0
RAB35	NA	14752	0	0	0
RAC1	NA	17152	0.003	0	0
RAD21	NA	14752	0.001	0	0
RAD50	Uncertain	17152	0.003	0.0022	0.188
RAD51	NA	17152	0	0	0
RAD51B	Uncertain	17152	0	8e-04	0.643
RAD51C	Moderate	17152	0.001	9e-04	0.429
RAD51D	Moderate	17152	0	3e-04	0
RAD52	Uncertain	17152	0	3e-04	0
RAD54L	Uncertain	17152	0	0.0016	0.167
RAF1	NA	17152	0.002	0	0
RARA	NA	17152	0	0	0
RASA1	Uncertain	17152	0.008	2e-04	0.667
RB1	High	17152	0.042	5e-04	0.875
RBM10	NA	17152	0.017	0	0
RECQL4	Uncertain	17152	0	0.0041	0.145
REL	NA	17152	0	0	0
RET	High	17152	0.002	3e-04	0.4
RFWD2	Uncertain	17152	0	1e-04	1
RHEB	NA	14752	0	0	0
RHOA	NA	17152	0.005	0	0
RICTOR	NA	17152	0	0	0
RIT1	NA	17152	0.001	0	0
RNF43	Uncertain	17152	0.014	2e-04	0.25
ROS1	Uncertain	17152	0	1e-04	NA
RPS6KA4	NA	17152	0.001	0	0
RPS6KB2	Uncertain	17152	0	0.0015	0.292
RPTOR	NA	17152	0	0	0
RUNX1	High	17152	0.008	1e-04	0
RYBP	NA	17152	0.001	0	0
SDHA	High	17152	0	0.001	0.533
SDHAF2	High	17152	0	2e-04	0
SDHB	High	17152	0	8e-04	0.818
SDHC	High	17152	0	1e-04	0.5
SDHD	High	17152	0	2e-04	0
SETD2	Uncertain	17152	0.021	5e-04	0.429
SF3B1	NA	17152	0.009	0	0
SH2B3	Uncertain	14752	0	1e-04	0
SH2D1A	NA	17152	0	0	0
SHQ1	Uncertain	17152	0.001	0.0021	0.069
SMAD2	NA	17152	0.005	0	0
SMAD3	Uncertain	17152	0.004	1e-04	0
SMAD4	NA	17152	0.032	0	0
SMARCA4	High	17152	0.017	1e-04	0
SMARCB1	High	17152	0.004	1e-04	1
SMARCD1	NA	17152	0	0	0
SMO	NA	17152	0	0	0
SOCS1	NA	17152	0	0	0
SOX17	NA	17152	0.003	0	0
SOX2	NA	17152	0	0	0
SOX9	NA	17152	0.012	0	0
SPEN	NA	17152	0.009	0	0
SPOP	Uncertain	17152	0.01	1e-04	0.5
SRC	NA	17152	0	0	0
SRSF2	NA	14752	0	0	0
STAG2	Uncertain	17152	0.008	1e-04	NA
STAT3	NA	14752	0.001	0	0
STAT5A	NA	14752	0	0	0
STAT5B	NA	14752	0	0	0
STK11	High	17152	0.027	2e-04	0.5
STK40	NA	17152	0	0	0
SUFU	High	17152	0	1e-04	1
SUZ12	Uncertain	17152	0	1e-04	1
SYK	NA	17152	0	0	0
TBX3	Uncertain	17152	0	1e-04	0
TCEB1	NA	14752	0	0	0
TCF3	NA	14752	0	0	0
TCF7L2	Uncertain	14752	0.01	3e-04	0.25
TERT	NA	17152	0	0	0
TET1	Uncertain	17152	0.004	1e-04	1
TET2	Uncertain	17152	0.006	6e-04	0.25
TGFBR1	Uncertain	17152	0.004	1e-04	0
TGFBR2	Uncertain	17152	0.007	1e-04	0
TMEM127	High	17152	0	1e-04	0
TMPRSS2	NA	17152	0	0	0
TNFAIP3	NA	17152	0	0	0
TNFRSF14	Uncertain	17152	0	1e-04	0
TOP1	NA	17152	0.002	0	0
TP53	High	17152	0.415	0.0018	0.846
TP63	NA	17152	0.001	0	0
TRAF2	NA	14752	0	0	0
TRAF7	NA	17152	0	0	0
TSC1	High	17152	0.009	1e-04	0
TSC2	High	17152	0.008	4e-04	0.4
TSHR	Uncertain	17152	0	6e-04	0.3
U2AF1	NA	17152	0.004	0	0
VEGFA	NA	14752	0	0	0
VHL	High,Uncertain	17152	0.014	9e-04	0.538
VTCN1	NA	17152	0	0	0
WT1	NA	17152	0	0	0
XIAP	NA	17152	0	0	0
XPO1	NA	17152	0.001	0	0
XRCC2	Uncertain	14752	0.001	7e-04	0.222
YAP1	NA	17152	0	0	0
YES1	NA	17152	0	0	0
ZFHX3	Uncertain	14752	0	1e-04	0
ZRSR2	NA	14752	0	0	0
